Pit_1,Pit_2,Pit_3,Pit_4,Pit_5,Pit_6,Pit_7,Pit_8,Pit_9,Pit_10,Pit_11,Pit_12,current_player,player_territory,policy
1,2,1,1,1,1,2,1,2,0,2,2,1,6,11
2,0,2,2,0,2,0,2,3,1,2,0,0,6,0
0,1,0,3,1,0,1,3,0,1,2,0,1,6,6
0,1,0,3,1,0,0,0,0,1,2,0,0,6,4
0,1,0,3,0,1,0,0,0,1,2,0,1,6,9
4,4,4,4,4,4,4,4,4,4,4,4,0,6,4
0,1,6,6,2,7,1,6,1,6,6,6,1,6,11
2,0,8,8,0,0,2,7,2,7,7,1,0,6,2
3,1,1,10,2,2,0,8,3,8,0,2,1,6,11
1,1,0,1,0,0,1,9,0,9,1,1,0,6,0
0,0,1,0,1,1,1,9,0,9,1,1,1,6,9
1,1,2,1,2,2,0,10,1,0,2,2,0,6,3
2,2,3,1,1,0,0,1,0,2,0,0,1,6,9
2,2,3,1,1,0,0,1,0,0,1,1,0,6,4
2,2,3,1,0,1,0,1,0,0,1,1,1,6,11
0,3,0,0,1,0,1,0,1,1,1,0,0,6,1
1,0,1,1,0,1,0,1,0,2,0,1,1,6,9
2,1,1,1,0,1,0,1,0,0,1,0,0,6,0
0,2,0,2,1,1,0,1,0,0,1,0,1,6,7
0,2,0,2,1,1,0,0,1,0,1,0,0,6,1
0,0,1,0,2,2,1,0,1,0,1,0,1,6,6
0,0,1,0,2,2,0,1,1,0,1,0,0,6,4
0,0,1,0,0,3,1,1,1,0,1,0,1,6,6
0,0,1,0,0,3,0,0,2,1,1,0,0,6,2
0,0,0,1,0,3,0,0,2,1,1,0,1,6,10
0,0,0,1,0,3,0,0,2,1,0,1,0,6,5
4,4,4,4,4,4,4,4,4,4,4,4,0,6,5
6,0,1,6,6,2,7,1,6,1,6,6,1,6,11
10,1,0,1,0,2,10,0,2,0,9,1,0,6,0
1,3,2,3,2,0,12,2,0,1,0,2,1,6,6
2,0,3,0,3,1,1,3,1,2,1,3,0,6,0
0,1,0,0,3,1,1,3,1,2,1,3,1,6,11
1,2,1,0,3,1,1,3,1,2,1,0,0,6,2
1,2,0,1,3,1,1,3,1,2,1,0,1,6,6
1,2,0,1,3,1,0,0,1,2,1,0,0,6,4
1,2,0,1,0,2,1,1,1,2,1,0,1,6,10
1,2,0,1,0,2,1,1,1,2,0,1,0,6,5
0,3,1,1,0,0,2,0,2,0,1,2,1,6,8
1,3,1,1,0,0,2,0,0,1,0,3,0,6,0
0,0,1,1,0,0,2,0,0,1,0,3,1,6,6
0,0,1,1,0,0,0,1,1,1,0,3,0,6,3
0,0,1,0,1,0,0,1,1,1,0,3,1,6,8
4,4,4,4,4,4,4,4,4,4,4,4,1,6,10
1,6,1,6,6,6,0,1,6,6,2,7,0,6,5
2,7,2,7,7,1,2,0,8,8,0,0,1,6,8
0,8,3,8,0,2,3,1,1,10,2,2,0,6,3
1,9,0,0,1,3,0,2,2,11,3,0,1,6,9
0,0,2,2,3,1,2,0,1,2,2,1,0,6,3
0,0,2,0,0,0,3,1,1,2,2,1,1,6,8
1,0,2,0,0,0,3,1,0,0,3,2,0,6,2
1,0,0,1,1,0,3,1,0,0,3,2,1,6,6
1,0,0,1,1,0,0,2,1,1,3,2,0,6,0
0,1,0,1,1,0,0,2,1,1,3,2,1,6,10
1,0,1,0,2,1,0,2,1,1,0,3,0,6,2
1,0,0,1,2,1,0,2,1,1,0,3,1,6,9
1,0,0,1,2,1,0,2,1,0,1,3,0,6,5
1,0,0,1,2,0,1,2,1,0,1,3,1,6,8
1,0,0,1,2,0,1,2,0,1,1,3,0,6,0
0,1,0,1,2,0,1,2,0,1,1,3,1,6,11
1,2,1,1,2,0,1,2,0,1,1,0,0,6,1
1,0,2,0,3,1,1,2,0,1,1,0,1,6,7
1,0,2,0,3,1,1,0,1,0,2,1,0,6,2
1,0,0,1,0,1,1,0,1,0,2,1,1,6,8
4,4,4,4,4,4,4,4,4,4,4,4,0,6,5
6,0,1,6,6,2,7,1,6,1,6,6,1,6,11
10,1,0,1,0,2,10,0,2,0,9,1,0,6,0
1,3,2,3,2,0,12,2,0,1,0,2,1,6,11
2,0,2,3,2,0,12,2,0,1,0,0,0,6,2
2,0,0,0,0,1,13,0,1,2,1,0,1,6,10
2,0,0,0,0,1,13,0,1,2,0,1,0,6,5
0,2,0,2,0,2,0,3,1,0,2,0,1,6,7
1,0,1,3,1,2,0,0,2,1,0,1,0,6,5
1,0,1,3,1,0,1,1,2,1,0,1,1,6,6
2,1,1,3,1,0,0,0,3,0,1,0,0,6,2
2,1,0,0,1,0,0,0,3,0,1,0,1,6,8
2,1,0,0,1,0,0,0,0,1,2,1,0,6,4
2,1,0,0,0,1,0,0,0,1,2,1,1,6,9
3,0,1,1,0,1,0,0,0,0,0,2,0,6,5
3,0,1,1,0,0,1,0,0,0,0,2,1,6,11
4,4,4,4,4,4,4,4,4,4,4,4,1,6,11
7,1,6,1,6,6,6,0,1,6,6,2,0,6,3
10,0,0,3,0,1,10,0,0,1,9,2,1,6,10
11,1,1,0,1,2,11,1,0,1,0,3,0,6,5
11,1,1,0,1,0,12,0,1,0,1,0,1,6,10
11,1,1,0,1,0,12,0,1,0,0,1,0,6,0
1,0,3,2,0,2,14,0,3,0,2,1,1,6,11
0,1,0,2,0,2,14,0,3,0,2,0,0,6,5
0,1,0,2,0,0,15,1,3,0,2,0,1,6,6
2,0,2,0,0,2,0,0,0,1,1,0,0,6,0
0,1,0,1,1,0,1,1,1,1,1,0,1,6,8
0,1,0,1,1,0,1,1,0,0,2,1,0,6,1
0,0,1,1,1,0,1,1,0,0,2,1,1,6,10
1,0,1,1,1,0,1,1,0,0,0,2,0,6,0
0,1,1,1,1,0,1,1,0,0,0,2,1,6,7
0,1,1,1,1,0,1,0,1,0,0,2,0,6,4
0,1,1,1,0,1,1,0,1,0,0,2,1,6,6
0,1,1,1,0,1,0,1,1,0,0,2,0,6,1
0,0,0,2,1,1,0,1,1,0,0,2,1,6,7
0,0,0,2,1,1,0,0,0,1,1,2,0,6,5
0,0,0,2,1,0,1,0,0,1,1,2,1,6,10
4,4,4,4,4,4,4,4,4,4,4,4,0,6,5
6,0,1,6,6,2,7,1,6,1,6,6,1,6,11
10,1,0,1,0,2,10,0,2,0,9,1,0,6,0
1,3,2,3,2,0,12,2,0,1,0,2,1,6,6
2,0,3,0,3,1,1,3,1,2,1,3,0,6,5
0,1,0,1,3,0,0,0,0,3,0,0,1,6,9
1,1,0,1,3,0,0,0,0,0,1,1,0,6,4
1,1,0,1,0,1,1,1,0,0,1,1,1,6,7
1,1,0,1,0,1,1,0,1,0,1,1,0,6,0
0,0,1,0,1,0,2,1,1,0,1,1,1,6,6
1,0,1,0,1,0,0,2,0,1,0,2,0,6,0
0,1,1,0,1,0,0,2,0,1,0,2,1,6,11
1,0,2,1,1,0,0,2,0,1,0,0,0,6,2
1,0,0,2,0,1,1,2,0,1,0,0,1,6,9
1,0,0,2,0,1,1,2,0,0,1,0,0,6,0
0,1,0,2,0,1,1,2,0,0,1,0,1,6,6
1,1,0,2,0,1,0,0,1,1,0,1,0,6,5
1,1,0,2,0,0,1,0,1,1,0,1,1,6,8
2,0,1,0,1,1,0,1,1,0,1,0,0,6,5
2,0,1,0,1,0,1,1,1,0,1,0,1,6,10
2,0,1,0,1,0,1,1,1,0,0,1,0,6,0
4,4,4,4,4,4,4,4,4,4,4,4,1,6,10
1,6,1,6,6,6,0,1,6,6,2,7,0,6,5
2,7,2,7,7,1,2,0,8,8,0,0,1,6,8
0,8,3,8,0,2,3,1,1,10,2,2,0,6,1
1,1,1,10,2,0,1,3,0,1,0,0,1,6,7
1,1,1,10,2,0,1,0,1,2,1,0,0,6,0
1,1,0,1,0,0,3,0,3,0,2,1,1,6,8
2,0,1,0,1,1,3,0,0,1,3,0,0,6,4
2,0,1,0,0,0,0,1,0,1,3,0,1,6,9
4,4,4,4,4,4,4,4,4,4,4,4,0,6,5
6,0,1,6,6,2,7,1,6,1,6,6,1,6,11
10,1,0,1,0,2,10,0,2,0,9,1,0,6,0
1,3,2,3,2,0,12,2,0,1,0,2,1,6,11
2,0,2,3,2,0,12,2,0,1,0,0,0,6,0
0,1,0,0,3,1,12,2,0,1,0,0,1,6,6
1,2,1,1,0,2,1,3,1,2,1,1,0,6,1
0,1,0,1,2,1,2,0,0,3,0,2,1,6,6
0,1,0,1,2,1,0,1,1,3,0,2,0,6,3
0,1,0,0,0,2,1,0,2,0,0,2,1,6,8
0,1,0,0,0,2,1,0,0,1,1,2,0,6,5
0,1,0,0,0,0,2,1,0,1,1,2,1,6,10
1,2,1,0,0,0,2,1,0,1,0,0,0,6,1
1,0,2,1,0,0,2,1,0,1,0,0,1,6,6
1,0,2,1,0,0,0,2,1,1,0,0,0,6,3
1,0,2,0,1,0,0,2,1,1,0,0,1,6,8
1,0,2,0,1,0,0,2,0,0,1,1,0,6,0
0,1,2,0,1,0,0,2,0,0,1,1,1,6,10
1,0,3,1,1,0,0,2,0,0,0,0,0,6,3
1,0,3,0,0,1,1,2,0,0,0,0,1,6,6
1,0,3,0,0,1,0,0,1,1,1,0,0,6,2
4,4,4,4,4,4,4,4,4,4,4,4,1,6,10
1,6,1,6,6,6,0,1,6,6,2,7,0,6,5
2,7,2,7,7,1,2,0,8,8,0,0,1,6,8
0,8,3,8,0,2,3,1,1,10,2,2,0,6,5
1,9,0,9,1,1,1,1,0,1,0,0,1,6,7
1,9,0,9,1,1,1,0,1,1,0,0,0,6,4
1,9,0,9,0,0,2,1,1,1,0,0,1,6,7
1,9,0,9,0,0,2,0,0,2,1,0,0,6,1
0,1,0,11,0,2,0,1,1,3,0,1,1,6,7
0,1,0,11,0,2,0,0,0,0,1,1,0,6,3
1,2,1,0,1,3,1,1,1,1,2,2,1,6,10
0,3,0,1,0,0,0,2,0,2,1,3,0,6,1
0,0,1,2,1,0,0,2,0,2,1,3,1,6,7
1,0,1,2,1,0,0,0,1,0,2,0,0,6,3
1,0,1,0,2,1,0,0,1,0,2,0,1,6,8
1,0,1,0,2,1,0,0,0,1,2,0,0,6,2
1,0,0,1,2,1,0,0,0,1,2,0,1,6,10
0,1,1,1,2,1,0,0,0,1,0,1,0,6,2
0,1,0,0,3,0,1,1,0,1,0,1,1,6,9
0,1,0,0,3,0,1,1,0,0,1,1,0,6,1
0,0,1,0,3,0,1,1,0,0,1,1,1,6,10
4,4,4,4,4,4,4,4,4,4,4,4,0,6,5
6,0,1,6,6,2,7,1,6,1,6,6,1,6,11
10,1,0,1,0,2,10,0,2,0,9,1,0,6,0
1,3,2,3,2,0,12,2,0,1,0,2,1,6,11
2,0,2,3,2,0,12,2,0,1,0,0,0,6,2
2,0,0,0,0,1,13,0,1,2,1,0,1,6,10
2,0,0,0,0,1,13,0,1,2,0,1,0,6,5
0,2,0,2,0,2,0,3,1,0,2,0,1,6,10
1,2,0,2,0,2,0,3,1,0,0,1,0,6,3
1,2,0,0,1,0,1,0,0,1,1,1,1,6,9
0,3,1,0,1,0,1,0,0,0,0,2,0,6,1
0,0,2,1,0,1,0,1,1,0,0,2,1,6,7
0,0,2,1,0,1,0,0,0,1,1,2,0,6,5
0,0,2,1,0,0,1,0,0,1,1,2,1,6,11
1,1,2,1,0,0,1,0,0,1,1,0,0,6,3
1,1,2,0,1,0,1,0,0,1,1,0,1,6,9
0,2,0,1,2,1,1,0,0,0,0,1,0,6,1
0,0,1,0,3,0,2,1,0,0,0,1,1,6,11
1,0,1,0,3,0,2,1,0,0,0,0,0,6,4
1,0,1,0,0,1,3,0,1,1,0,0,1,6,8
1,0,1,0,0,1,3,0,0,0,1,1,0,6,2
4,4,4,4,4,4,4,4,4,4,4,4,1,6,8
1,6,6,6,0,1,6,6,2,7,1,6,0,6,0
3,0,1,10,0,0,1,9,2,10,0,0,1,6,6
0,1,2,11,1,1,0,0,3,11,1,1,0,6,5
0,1,2,11,1,0,1,0,3,11,1,1,1,6,10
2,1,0,1,2,1,2,1,0,12,1,1,0,6,0
0,2,1,1,2,1,2,1,0,12,1,1,1,6,10
0,2,0,0,1,3,0,1,2,1,0,2,0,6,1
0,0,1,1,1,3,0,1,2,1,0,2,1,6,8
0,0,1,1,1,3,0,1,0,2,1,2,0,6,2
0,0,0,0,2,0,0,1,0,2,1,2,1,6,7
0,0,0,0,2,0,0,0,1,2,1,2,0,6,4
0,0,0,0,0,1,1,0,1,2,1,2,1,6,10
1,1,1,0,0,1,1,0,1,2,0,0,0,6,5
1,1,1,0,0,0,0,1,0,3,1,0,1,6,10
1,1,1,0,0,0,0,1,0,3,0,1,0,6,1
1,0,0,1,1,0,0,1,0,3,0,1,1,6,9
0,1,1,1,1,0,0,1,0,0,1,2,0,6,3
0,1,1,0,0,1,1,1,0,0,1,2,1,6,10
1,2,0,1,1,1,1,1,0,0,0,0,0,6,1
1,0,1,0,2,0,2,0,1,1,0,0,1,6,8
4,4,4,4,4,4,4,4,4,4,4,4,0,6,3
1,6,6,2,7,1,6,1,6,6,6,0,1,6,10
0,8,8,0,0,2,7,2,7,7,1,2,0,6,5
1,8,8,0,0,0,8,0,8,8,0,3,1,6,9
2,9,9,1,1,1,8,0,8,0,1,0,0,6,5
3,10,10,0,2,1,0,1,9,1,2,1,1,6,8
1,11,11,1,3,0,1,0,1,0,0,3,0,6,0
1,1,12,2,0,1,2,1,2,1,1,0,1,6,6
1,1,12,2,0,1,0,2,0,2,2,1,0,6,0
0,0,13,0,1,2,1,2,0,2,2,1,1,6,10
1,0,13,0,1,2,1,2,0,2,0,2,0,6,5
1,0,13,0,1,0,2,0,1,3,1,2,1,6,6
0,3,0,3,1,2,2,0,2,2,0,1,0,6,5
0,3,0,3,1,0,3,1,2,2,0,1,1,6,7
1,0,0,3,1,0,3,0,0,3,1,0,0,6,3
1,0,0,0,2,1,0,0,0,3,1,0,1,6,9
0,1,1,0,2,1,0,0,0,0,2,1,0,6,5
0,1,1,0,2,0,1,0,0,0,2,1,1,6,10
1,1,1,0,2,0,1,0,0,0,0,2,0,6,0
0,0,2,1,2,0,1,0,0,0,0,2,1,6,11
1,1,2,1,2,0,1,0,0,0,0,0,0,6,4
4,4,4,4,4,4,4,4,4,4,4,4,1,6,7
6,6,6,0,1,6,6,2,7,1,6,1,0,6,0
0,1,0,3,0,9,2,1,10,1,9,0,1,6,6
2,3,2,1,2,11,2,1,2,0,0,2,0,6,0
1,1,1,3,0,1,3,2,3,1,1,3,1,6,6
1,1,1,3,0,1,0,3,0,0,2,0,0,6,5
1,1,1,3,0,0,1,3,0,0,2,0,1,6,7
2,0,2,0,0,0,1,0,1,1,0,1,0,6,0
0,1,0,1,1,1,1,0,1,1,0,1,1,6,8
1,0,1,0,2,0,2,1,0,0,1,0,0,6,2
1,0,0,1,2,0,2,1,0,0,1,0,1,6,6
1,0,0,1,2,0,0,2,1,0,1,0,0,6,3
0,1,1,0,0,1,1,0,2,1,0,1,1,6,8
0,1,1,0,0,1,1,0,0,2,1,1,0,6,1
0,0,0,1,1,1,1,0,0,2,1,1,1,6,11
1,0,0,1,1,1,1,0,0,2,1,0,0,6,3
1,0,0,0,0,2,0,1,1,2,1,0,1,6,9
1,0,0,0,0,2,0,1,1,0,2,1,0,6,0
0,1,0,0,0,2,0,1,1,0,2,1,1,6,10
1,1,0,0,0,2,0,1,1,0,0,2,0,6,5
1,1,0,0,0,0,1,0,2,1,0,2,1,6,8
4,4,4,4,4,4,4,4,4,4,4,4,0,6,5
6,0,1,6,6,2,7,1,6,1,6,6,1,6,9
10,0,0,1,9,2,10,0,0,3,0,1,0,6,5
10,0,0,1,9,0,11,1,0,3,0,1,1,6,9
2,3,1,0,0,2,13,3,2,2,3,1,0,6,0
0,0,0,1,1,2,13,3,2,2,3,1,1,6,11
1,0,0,1,1,2,13,3,2,2,3,0,0,6,5
1,0,0,1,1,0,14,0,2,2,3,0,1,6,6
2,1,1,2,2,1,1,2,0,3,0,1,0,6,4
2,1,1,2,0,2,0,3,1,3,0,1,1,6,9
0,2,2,0,1,3,1,3,1,0,1,2,0,6,2
1,2,0,1,0,0,0,0,0,1,0,3,1,6,9
1,2,0,1,0,0,0,0,0,0,1,3,0,6,3
1,2,0,0,1,0,0,0,0,0,1,3,1,6,10
4,4,4,4,4,4,4,4,4,4,4,4,1,6,10
1,6,1,6,6,6,0,1,6,6,2,7,0,6,5
2,7,2,7,7,1,2,0,8,8,0,0,1,6,8
0,8,3,8,0,2,3,1,1,10,2,2,0,6,1
1,1,1,10,2,0,1,3,0,1,0,0,1,6,6
1,1,1,10,2,0,0,0,0,1,0,0,0,6,0
0,2,1,1,0,0,2,0,2,0,2,2,1,6,10
1,2,1,1,0,0,2,0,2,0,0,3,0,6,0
0,0,2,2,1,0,2,0,2,0,0,3,1,6,6
0,0,2,2,1,0,0,1,0,1,1,0,0,6,3
0,0,2,0,2,1,0,1,0,1,1,0,1,6,9
1,0,2,0,2,1,0,1,0,0,0,1,0,6,4
1,0,2,0,0,2,1,1,0,0,0,1,1,6,6
1,0,2,0,0,2,0,0,1,1,0,1,0,6,5
1,0,2,0,0,0,1,1,1,1,0,1,1,6,11
0,1,0,1,1,1,1,1,1,1,0,0,0,6,5
0,1,0,1,1,0,0,2,0,2,1,0,1,6,7
1,1,0,1,1,0,0,0,1,0,2,1,0,6,1
1,0,1,1,1,0,0,0,1,0,2,1,1,6,10
0,1,0,2,0,1,1,0,1,0,0,2,0,6,3
0,1,0,0,1,0,2,1,1,0,0,2,1,6,6
4,4,4,4,4,4,4,4,4,4,4,4,0,6,3
1,6,6,2,7,1,6,1,6,6,6,0,1,6,10
0,8,8,0,0,2,7,2,7,7,1,2,0,6,5
1,8,8,0,0,0,8,0,8,8,0,3,1,6,9
2,9,9,1,1,1,8,0,8,0,1,0,0,6,1
1,2,12,1,0,3,0,2,10,2,1,2,1,6,7
1,2,3,0,0,0,2,0,0,1,0,3,0,6,0
0,0,0,1,1,0,2,0,0,1,0,3,1,6,11
1,1,1,1,1,0,2,0,0,1,0,0,0,6,0
0,0,2,0,2,1,2,0,0,1,0,0,1,6,6
0,0,2,0,2,1,0,1,1,1,0,0,0,6,4
0,0,2,0,0,2,1,1,1,1,0,0,1,6,7
0,0,2,0,0,2,1,0,0,2,1,0,0,6,5
0,0,2,0,0,0,2,1,0,2,1,0,1,6,6
0,0,2,0,0,0,0,2,1,2,1,0,0,6,2
0,0,0,1,1,0,0,2,1,2,1,0,1,6,7
1,0,0,1,1,0,0,0,2,0,2,1,0,6,3
1,0,0,0,0,1,1,0,2,0,2,1,1,6,10
0,1,1,0,0,1,1,0,2,0,0,2,0,6,5
1,2,0,1,1,0,0,1,0,1,1,0,1,6,10
1,2,0,1,1,0,0,1,0,1,0,1,0,6,0
4,4,4,4,4,4,4,4,4,4,4,4,1,6,11
7,1,6,1,6,6,6,0,1,6,6,2,0,6,3
10,0,0,3,0,1,10,0,0,1,9,2,1,6,9
11,1,1,0,1,2,11,1,1,0,0,3,0,6,1
12,1,1,2,1,0,1,2,2,1,1,0,1,6,10
12,1,1,2,1,0,1,2,2,1,0,1,0,6,3
12,1,1,0,2,1,1,2,2,1,0,1,1,6,11
1,0,3,2,0,2,2,3,3,2,1,1,0,6,2
1,0,0,3,1,0,3,0,0,2,1,1,1,6,6
0,1,1,3,1,0,0,1,1,0,2,2,0,6,1
0,0,0,0,0,1,1,1,1,0,2,2,1,6,10
1,0,0,0,0,1,1,1,1,0,0,3,0,6,0
0,1,0,0,0,1,1,1,1,0,0,3,1,6,8
0,1,0,0,0,1,1,1,0,1,0,3,0,6,1
0,0,1,0,0,1,1,1,0,1,0,3,1,6,6
4,4,4,4,4,4,4,4,4,4,4,4,0,6,5
6,0,1,6,6,2,7,1,6,1,6,6,1,6,9
10,0,0,1,9,2,10,0,0,3,0,1,0,6,0
0,1,1,2,10,3,11,1,1,0,1,1,1,6,7
1,1,1,2,10,3,11,0,0,1,0,2,0,6,5
1,1,1,2,10,0,12,1,1,1,0,2,1,6,11
0,1,3,1,12,2,1,0,3,3,0,2,0,6,5
0,1,3,1,12,0,2,1,3,3,0,2,1,6,7
0,1,3,1,12,0,2,0,0,3,0,2,0,6,3
1,2,0,1,1,0,0,0,2,1,1,3,1,6,9
0,3,1,1,1,0,0,0,2,0,0,0,0,6,4
0,3,1,1,0,1,0,0,2,0,0,0,1,6,8
0,3,1,1,0,1,0,0,0,1,1,0,0,6,5
0,3,1,1,0,0,1,0,0,1,1,0,1,6,10
0,3,1,1,0,0,1,0,0,1,0,1,0,6,1
0,0,2,2,1,0,1,0,0,1,0,1,1,6,9
0,0,2,2,1,0,1,0,0,0,1,1,0,6,4
0,0,2,2,0,1,1,0,0,0,1,1,1,6,11
1,0,2,2,0,1,1,0,0,0,1,0,0,6,5
1,0,2,2,0,0,0,1,1,0,1,0,1,6,10
1,0,2,2,0,0,0,1,1,0,0,1,0,6,0
4,4,4,4,4,4,4,4,4,4,4,4,1,6,10
1,6,1,6,6,6,0,1,6,6,2,7,0,6,5
2,7,2,7,7,1,2,0,8,8,0,0,1,6,8
0,8,3,8,0,2,3,1,1,10,2,2,0,6,1
1,1,1,10,2,0,1,3,0,1,0,0,1,6,7
1,1,1,10,2,0,1,0,1,2,1,0,0,6,1
1,0,0,11,0,1,2,1,1,2,1,0,1,6,7
0,1,1,11,0,1,2,0,0,3,0,1,0,6,3
1,2,0,1,0,3,0,1,1,0,1,2,1,6,11
2,0,1,2,1,3,0,1,1,0,1,0,0,6,5
0,1,2,0,2,1,0,3,1,1,0,1,1,6,11
1,1,2,0,2,1,0,3,1,1,0,0,0,6,0
0,0,3,1,2,1,0,3,1,1,0,0,1,6,8
0,0,3,1,2,1,0,3,0,0,1,1,0,6,3
0,0,3,0,0,2,1,0,0,0,1,1,1,6,10
1,1,3,0,0,2,1,0,0,0,0,0,0,6,5
1,1,3,0,0,0,2,1,0,0,0,0,1,6,6
1,1,3,0,0,0,0,2,1,0,0,0,0,6,2
1,1,0,1,1,1,0,2,1,0,0,0,1,6,7
1,1,0,1,1,1,0,0,2,1,0,0,0,6,4
1,1,0,1,0,0,1,1,2,1,0,0,1,6,8
4,4,4,4,4,4,4,4,4,4,4,4,0,6,0
2,7,1,6,1,6,6,6,0,1,6,6,1,6,7
0,0,2,7,2,7,7,1,2,0,8,8,0,6,5
1,0,2,7,2,0,8,2,3,1,9,9,1,6,11
2,1,3,8,3,1,9,3,0,1,9,0,0,6,2
2,1,0,9,0,0,10,0,0,1,9,0,1,6,6
3,2,1,10,1,0,0,1,1,2,10,1,0,6,2
0,3,1,0,2,1,1,2,2,3,11,2,1,6,6
1,0,2,1,3,2,1,1,0,1,1,3,0,6,5
1,0,2,1,3,0,2,0,1,0,2,0,1,6,10
0,1,0,2,0,1,2,0,1,0,0,1,0,6,1
0,0,1,2,0,1,2,0,1,0,0,1,1,6,8
0,0,1,2,0,1,2,0,0,1,0,1,0,6,3
0,0,1,0,1,0,3,1,0,1,0,1,1,6,6
1,1,1,0,1,0,0,2,1,0,1,0,0,6,0
0,0,2,1,1,0,0,2,1,0,1,0,1,6,7
0,0,2,1,1,0,0,0,2,1,1,0,0,6,3
0,0,2,0,0,1,1,0,2,1,1,0,1,6,8
1,0,2,0,0,1,1,0,0,2,0,1,0,6,5
1,0,2,0,0,0,0,1,1,2,0,1,1,6,8
0,1,0,1,1,1,0,1,0,0,1,2,0,6,5
4,4,4,4,4,4,4,4,4,4,4,4,1,6,10
1,6,1,6,6,6,0,1,6,6,2,7,0,6,5
2,7,2,7,7,1,2,0,8,8,0,0,1,6,8
0,8,3,8,0,2,3,1,1,10,2,2,0,6,1
1,1,1,10,2,0,1,3,0,1,0,0,1,6,7
1,1,1,10,2,0,1,0,1,2,1,0,0,6,1
1,0,0,11,0,1,2,1,1,2,1,0,1,6,7
0,1,1,11,0,1,2,0,0,3,0,1,0,6,1
0,0,0,12,1,1,2,0,0,3,0,1,1,6,9
1,0,0,12,1,1,2,0,0,0,1,2,0,6,0
0,1,0,12,1,1,2,0,0,0,1,2,1,6,11
3,0,3,0,1,0,0,0,2,0,3,0,0,6,0
0,1,0,1,1,0,0,0,2,0,3,0,1,6,8
4,4,4,4,4,4,4,4,4,4,4,4,0,6,5
6,0,1,6,6,2,7,1,6,1,6,6,1,6,9
10,0,0,1,9,2,10,0,0,3,0,1,0,6,5
10,0,0,1,9,0,11,1,0,3,0,1,1,6,9
2,3,1,0,0,2,13,3,2,2,3,1,0,6,5
2,3,1,0,0,0,14,0,2,2,3,1,1,6,8
2,3,1,0,0,0,14,0,0,3,0,1,0,6,1
2,0,2,1,1,0,14,0,0,3,0,1,1,6,11
0,1,3,0,2,1,14,0,0,3,0,0,0,6,5
1,2,0,1,3,1,1,2,2,1,1,1,1,6,8
0,3,1,1,3,1,1,2,0,2,0,2,0,6,1
0,0,2,2,0,1,1,2,0,2,0,2,1,6,7
1,0,2,2,0,1,1,0,1,0,1,3,0,6,2
1,0,0,3,1,1,1,0,1,0,1,3,1,6,11
2,1,1,3,1,1,1,0,1,0,1,0,0,6,0
1,2,0,0,0,2,0,1,0,1,0,1,1,6,9
1,2,0,0,0,2,0,1,0,0,1,1,0,6,5
1,2,0,0,0,0,1,0,1,1,1,1,1,6,8
2,0,1,1,1,0,1,0,0,0,2,0,0,6,0
0,1,0,2,0,1,0,1,1,0,2,0,1,6,8
0,1,0,2,0,1,0,1,0,1,2,0,0,6,1
4,4,4,4,4,4,4,4,4,4,4,4,1,6,10
1,6,1,6,6,6,0,1,6,6,2,7,0,6,5
2,7,2,7,7,1,2,0,8,8,0,0,1,6,8
